Species	GF	Decid_Evergreen	Needle_Broadlf	C3C4	N2_fixer	LL	LMA	Nmass	Pmass	Amass	Gs
Amphitecna_tuxtlensis	T	E	NA	NA	N	NA	6.901768714	1.166630321	0.385237515	NA	NA
Anacardium_excelsum	T	E	B	NA	N	2.526411711	6.820958469	1.246211424	NA	8.136770064	10.98327573
Anacardium_excelsum	T	E	B	NA	N	NA	7.470749915	NA	NA	6.851803358	14.49700387
Anagallis_arvensis	H	NA	B	NA	N	NA	4.046854888	1.584557765	NA	NA	NA
Anagyris_foetida	S	D	B	C3	Y	NA	7.238661382	1.769227375	NA	10.6327357	13.22940711
Andersonia_heterophylla	S	E	N	C3	N	2.810672435	11.16235078	0.973485697	NA	4.727876011	12.48563694
Andira_inermis	T	E	NA	NA	Y	2.94226957	NA	NA	NA	NA	13.11860259
Andromeda_glaucophylla	S	E	B	C3	N	3.046347562	8.335920348	1.153746877	NA	6.340485387	12.06077534
Andromeda_glaucophylla	S	E	B	C3	N	3.508794408	10.72721309	1.058555086	0.300995655	6.284338211	NA
Andromeda_polifolia	S	E	B	C3	N	NA	8.940681331	NA	NA	5.901734317	13.34458669
Andromeda_polifolia	S	E	B	C3	N	3.216090192	8.255619262	1.210785499	NA	NA	NA
Andromeda_polifolia	S	E	B	C3	N	NA	8.324940505	NA	NA	NA	NA
Andropogon_gerardi	G	NA	B	C4	N	1	5.422927299	1.253807499	NA	11.7854724	8.888405078
Andropogon_gerardi	G	NA	B	C4	N	1.460851903	7.325781424	1.097924616	NA	11.95747518	11.39266003
Andropogon_gerardii	G	NA	B	C4	N	NA	NA	NA	NA	NA	11.10695313
Androsace_akbaitalensis	H	NA	NA	NA	NA	NA	4.914434826	NA	NA	NA	NA
Anemone_cylindrica	H	NA	B	C3	N	NA	6.01907353	1.31197884	NA	8.417675898	9.218791818
Anemone_cylindrica	H	NA	B	C3	N	1.378543923	7.175096581	1.246211424	NA	9.178873627	13.34397013
Anemone_rupicola	H	NA	NA	NA	NA	NA	6.771028201	1.512389136	NA	7.678406039	NA
Anemone_sylvestris	H	NA	NA	NA	N	NA	5.506139334	1.451956566	NA	NA	NA
Angelica_sylvestris	H	NA	B	C3	N	NA	4.376691616	1.605461889	NA	NA	NA
Anigozanthos_humilis	H	NA	B	C3	N	1.817923991	5.818006156	1.732800232	NA	12.83706926	15.7490147
Annona_coriaceae	T	NA	B	C3	N	NA	8.786467565	1.377329234	NA	6.003794521	NA
Annona_spraguei	T	NA	NA	NA	N	1.805909977	NA	1.408355457	NA	NA	NA
Annona_squamosa	T	E	B	NA	N	NA	5.694907443	1.650468624	0.463220971	NA	NA
Anogeissus_latifolia	T	D	B	NA	N	NA	8.693402516	1.17159081	0.351425517	NA	NA
Antennaria_dioica	H	NA	NA	NA	N	NA	4.963246145	1.178630128	NA	NA	NA
Anthemis_tinctoria	H	NA	NA	NA	N	NA	6.524993369	1.321481692	NA	NA	NA
Anthocephalus_cadamba	T	E	B	NA	N	NA	7.815760422	1.27511714	0.486145946	NA	NA
Anthonotha_gracilliflora	T	E	NA	NA	Y	NA	NA	1.399982496	NA	NA	NA
Anthonotha_macrophylla	T	E	NA	NA	Y	NA	NA	1.493915523	NA	NA	NA
Anthoxanthum_odoratum	G	NA	NA	NA	N	NA	4.584548553	NA	NA	NA	NA
Anthriscus_sylvestris	H	NA	B	C3	N	NA	3.937720471	1.454565158	NA	NA	NA
Antirrhoea_trichantha	T	D	B	NA	N	2.138062404	7.170676488	1.371589581	NA	10.14594746	18.8670607
Apeiba_aspera	T	NA	NA	NA	N	2.161607184	NA	1.405571687	NA	NA	NA
Apeiba_tibourbou	T	NA	NA	NA	N	1.805909977	NA	1.524404629	NA	NA	NA
Apodytes_dimidiata	T	NA	B	C3	N	NA	9.012353885	1.329005255	NA	NA	NA
Apollonias_barbujana	T	E	NA	NA	N	NA	8.591618465	1.11033058	NA	NA	NA
Aporosa_bracteosa	T	E	B	C3	N	NA	6.685722416	NA	NA	4.237802243	NA
Aporosa_lunata	T	E	B	C3	N	NA	8.066969971	NA	NA	4.4431416	NA
Aporosa_microstachya	T	E	B	C3	N	NA	5.259061992	NA	NA	4.455568196	NA
Aquilegia_vulgaris	H	NA	NA	NA	N	NA	4.625011776	1.441217129	NA	NA	NA
Arabis_alpina	H	NA	B	C3	N	NA	4.853905296	1.597352115	NA	NA	NA
Arabis_caerulea	H	NA	B	C3	N	NA	5.352731293	1.657234051	NA	NA	NA
Arabis_hirsuta	H	NA	B	C3	N	NA	5.468312152	1.351249873	NA	NA	NA
Araucaria_araucana	T	E	B	C3	N	11.69770288	12.21995599	0.789329043	NA	NA	NA
Arbutus_andrachne	S	E	B	C3	N	3.005279409	5.246584635	NA	NA	NA	NA
Arbutus_canariensis	T	E	NA	NA	N	NA	8.642574842	1.09765463	NA	NA	NA
Arbutus_menziesii	S	E	B	C3	N	NA	8.084148035	1.137359523	NA	6.066450818	8.390539309
Arbutus_menziesii	S	E	B	C3	N	3.226930708	8.917360547	1.098559746	0.397325276	6.430163721	8.825100581
Arbutus_menziesii	T	E	B	C3	N	NA	8.643359757	1.087477507	NA	NA	NA
Arbutus_unedo	T	E	B	C3	N	NA	9.163200704	1.078473873	NA	5.709463712	8.410224704
Arbutus_unedo	S	E	B	C3	N	NA	7.136328374	1.436711459	0.487993394	NA	NA
Arbutus_unedo	T	E	B	C3	N	NA	8.922945481	1.004330724	NA	NA	NA
Arbutus_unedo	S	E	B	C3	N	3.251046509	5.226004486	NA	NA	NA	NA
Arctagrostis_latifolia	G	NA	NA	NA	N	1.744211342	8.28083122	1.351249873	NA	NA	NA
Arctium_tomentosum	H	NA	NA	NA	N	NA	3.673077974	1.963760271	NA	NA	NA
Arctostaphylos_alpina	S	D	B	C3	N	1.601804636	6.88987542	1.171674725	NA	NA	NA
Arctostaphylos_alpina	S	D	B	C3	N	1.471261361	7.259211637	1.30932658	NA	NA	NA
Arctostaphylos_crustacea	S	E	NA	NA	N	NA	10.93146647	1.010781572	NA	NA	NA
Arctostaphylos_tomentosa	S	E	B	C3	N	3.845868944	8.542041237	1.014098459	0.370268448	6.527343201	9.053034451
Arctostaphylos_uva-ursi	S	E	B	C3	N	3.508794408	8.212718074	1.094070464	NA	4.492579879	9.786788533
Arctostaphylos_uva-ursi	S	E	B	C3	N	NA	12.21995599	0.856499145	NA	NA	NA
Arctous_alpina	S	D	NA	NA	N	NA	7.350416252	NA	NA	7.997917906	13.22052815
Argyranthemum_spp.	S	D	NA	NA	N	NA	8.517371397	1.055239112	NA	NA	NA
Arisaema_triphyllum	H	NA	B	C3	N	NA	4.138015824	2.233248196	NA	NA	7.058570198
Aristolochia_rotunda	V	NA	B	C3	N	NA	4.754497052	1.674733407	NA	NA	NA
Aristolochia_rotunda	V	NA	B	C3	N	NA	5.409984019	1.720538774	NA	NA	NA
Aristotelia_fruiticosa	S	E	B	NA	N	NA	7.940331138	1.306585796	0.428992109	NA	NA
Aronia_melanocarpa	S	D	B	C3	N	2.177442995	7.304014033	1.271947574	0.424439756	8.135542769	NA
Aronia_melanocarpa	S	D	B	C3	N	NA	7.624818083	NA	NA	NA	NA
Artemisia_absinthium	H	NA	NA	NA	N	NA	3.982927265	1.411132077	NA	NA	NA
Artemisia_californica	S	D	B	C3	N	NA	7.235503862	NA	NA	NA	NA
Artemisia_genipi	H	NA	B	C3	N	NA	5.069535978	1.606754433	NA	NA	NA
Artemisia_leucotricha	S	NA	NA	NA	NA	NA	7.389056099	NA	NA	NA	NA
Artemisia_ludoviciana	H	NA	NA	C3	N	NA	NA	NA	NA	NA	15.54048864
Artemisia_pamirica	S	NA	NA	NA	NA	NA	6.344400794	NA	NA	NA	NA
Artemisia_rhodantha	S	NA	NA	NA	NA	NA	6.99001479	NA	NA	NA	NA
Artemisia_tridentata	S	NA	B	C3	N	NA	9.29194586	1.169113992	0.555496626	5.198447436	7.806805564
Artemisia_tridentata	S	E	B	C3	N	NA	8.311932436	1.225505053	NA	NA	NA
Artemisia_vulgaris	H	NA	NA	NA	N	NA	4.625011776	1.443911746	NA	NA	NA
Arthrophyllum_diversifolium	T	NA	NA	NA	NA	NA	6.881624268	NA	NA	NA	NA
Artocarpus_heterophyllus	T	E	B	NA	N	NA	7.569106186	1.519378381	0.486145946	NA	NA
Artocarpus_lakoocha	T	D	B	NA	N	NA	7.122904028	1.34831151	0.463220971	NA	NA
Asclepias_syriaca	H	NA	B	C3	N	1.158720358	6.074504047	1.544297175	NA	11.62988673	14.2678877
Asclepias_syriaca	H	NA	B	C3	N	NA	5.669960646	NA	NA	NA	NA
Asclepias_tuberosa	H	NA	B	C3	N	NA	6.801986009	1.388716034	NA	8.464354976	9.719730087
Asclepias_virdaflora	H	NA	NA	C3	N	NA	NA	NA	NA	NA	19.46025095
Asclepias_viridis	H	NA	NA	C3	N	NA	NA	NA	NA	NA	16.10549334
Aspidosperma_album	T	E	B	C3	N	4.56543564	8.028678569	1.02981974	NA	5.571534463	13.65139647
Aspidosperma_album	T	E	B	C3	N	NA	9.656258363	1.171237397	0.326545361	NA	NA
Aspidosperma_megalocarpon	T	E	NA	NA	N	4.316297601	NA	1.116936545	NA	NA	NA
Aspidosperma_tomentosum	T	NA	B	C3	N	NA	8.578261521	1.012919976	NA	6.406624265	NA
Aster_acuminatus	H	NA	NA	NA	NA	NA	3.822998863	NA	NA	NA	NA
Aster_amellus	H	NA	NA	NA	N	NA	7.321261812	1.383037898	NA	NA	NA
Aster_azureus	H	NA	B	C3	N	NA	7.454172363	1.226445297	NA	8.370929955	14.33577027
Aster_ericoides	H	NA	B	C3	N	NA	8.230982578	1.284564824	NA	9.021319781	12.81002866
Aster_novaeanglieae	H	NA	B	C3	N	NA	6.160490568	1.465237056	NA	10.59964527	12.14514678
Aster_oblongifolius	H	NA	NA	C3	N	NA	NA	NA	NA	NA	17.26673671
Astragalus_alpinus	H	D	B	C3	Y	NA	5.0235756	1.810567711	NA	NA	NA
Astragalus_alpinus	H	D	B	C3	Y	NA	5.273835157	2.11644187	NA	NA	NA
Astragalus_candensis	H	NA	B	C3	Y	NA	7.204415736	1.851414704	NA	11.43782186	17.56127265
Astragalus_frigidus	H	D	B	C3	Y	NA	5.308436047	2.021331862	NA	NA	NA
Astragalus_frigidus	H	D	B	C3	Y	NA	5.323323668	2.108243624	NA	NA	NA
Astragalus_geminiflorus	H	NA	NA	NA	Y	NA	8.393358786	1.715497694	NA	NA	NA
Astragalus_tibetanus	H	NA	NA	NA	NA	NA	5.043236793	NA	NA	NA	NA
Astrocaryum_mexicanum	T	E	NA	NA	N	NA	6.511977529	1.249141277	0.450080051	NA	NA
Astroloma_xerophyllum	S	E	B	C3	N	2.551072203	10.47070377	0.991264454	NA	5.427228173	9.988322642
Astronium_graveolens	T	D	B	C3	N	2.571482735	5.898456569	1.524977756	0.424923434	NA	NA
Astrotricha_floccosa	S	E	B	C3	N	2.207702282	6.789121321	1.222371967	0.31703546	8.817775929	9.625425803
Athylium_wallichianum	F	NA	NA	NA	NA	NA	6.954304631	1.643462384	NA	6.631800523	NA
Atriplex_canescens	H	NA	B	C3	N	2.328206061	11.0365169	1.380187411	NA	6.670048233	12.73135749
Atriplex_halimus	S	E	B	C4	N	NA	6.97186962	2.046238733	NA	11.15821381	11.33158875
Atriplex_stipitata	S	E	B	C4	N	2.23002766	6.825159681	1.58753676	0.415021037	10.55517286	7.768218441
Aulax_umbellata	S	E	B	NA	NA	NA	9.721975082	0.951256591	0.222976944	NA	NA
Aulax_umbellata	S	E	B	NA	NA	NA	9.993128604	0.867414924	0.264883489	NA	NA
Aulax_umbellata_(m&f)	S	E	B	NA	NA	NA	10.42933554	0.895880533	0.190053076	NA	NA
Aulax_umbellata_(m&f)	S	E	B	NA	NA	NA	9.706235107	0.918877647	0.206808568	NA	NA
Austrocedrus_chilensis	T	E	N	C3	N	4.316297601	9.898961215	1.038135689	NA	4.898023349	7.640199806
Avena_barbata	G	NA	B	NA	N	NA	5.00698489	1.465441671	NA	NA	NA
Avena_barbata	G	NA	B	NA	N	NA	4.929148639	1.483510742	NA	NA	NA
Avenula_bromoides	G	D	B	C3	N	1.505286107	6.026410358	1.271178991	NA	6.261692785	NA
Avenula_bromoides	G	NA	B	C3	N	NA	5.669960646	1.357101763	NA	NA	NA
Avenula_crassifolia	H	NA	B	C3	N	NA	7.128959639	1.413901599	NA	8.709875613	9.55321772
Avicennia_alba	T	NA	NA	NA	NA	NA	8.867869984	NA	NA	NA	NA
Avicennia_lanata	T	NA	NA	NA	NA	NA	10.14471583	NA	NA	NA	NA
Azadirachta_indica	T	D	B	NA	N	NA	6.670048233	1.623038223	0.486145946	NA	NA
Azorella_pedunculata	H	NA	NA	NA	N	NA	8.253106792	1.229768421	NA	NA	NA
Baccaurea_parviflora	T	E	B	C3	N	NA	6.985647855	NA	NA	4.095681489	NA
Baccaurea_racemosa	T	E	B	C3	N	NA	8.132152362	NA	NA	3.828307046	NA
Baccaurea_reticulata	T	E	B	C3	N	NA	7.845827368	NA	NA	4.348461116	NA
Baccharis_angustifolia	T	NA	B	C3	N	1.488754715	7.232877382	1.336473744	NA	9.936613687	15.79459582
Baccharis_arbutifolia	S	NA	NA	NA	N	1.53935541	7.226274395	1.592623811	NA	NA	NA
Baccharis_pedunculata	S	NA	NA	NA	NA	NA	5.96051062	NA	NA	NA	NA
Baccharis_pilularis	S	E	B	C3	N	2.589170408	7.621704253	1.474029784	0.438629581	9.09750318	10.25432943
Bactris_trichophylla	S	E	NA	NA	N	NA	5.690750157	1.205574643	0.379617339	NA	NA
Baeckea_crassifolia	S	E	B	NA	N	NA	12.64930157	0.973485697	0.244403338	NA	NA
Balanites_maughamii	T	NA	B	C3	N	NA	8.194586739	1.810327176	NA	NA	NA
Bambusa_bambos	T	D	B	NA	N	NA	6.012197875	1.435808114	0.425763196	NA	NA
Banksia_attenuata	T	E	B	C3	N	4.36506433	11.63256436	0.914013941	NA	7.361509667	14.22573831
Banksia_marginata	S	E	B	C3	N	4.763240712	9.30873559	0.931672064	0.194315498	7.448410748	12.05100289
Banksia_marginata	S	E	B	C3	N	NA	10.45193874	0.818191019	0.146486976	NA	NA
Banksia_marginata	S	E	B	C3	N	NA	8.792729592	0.931852187	0.230265777	NA	NA
Banksia_menziesii	T	E	B	C3	N	4.856123609	12.2926351	0.908622437	NA	6.022745096	13.36104173
Banksia_ornata	S	E	B	NA	N	NA	11.24829322	0.840359756	0.165981322	NA	NA
Baptisia_leucophaea	H	NA	B	C3	Y	1.723001873	7.196462641	1.742105516	NA	9.037631378	14.61641301
Barteria_fistulosa	T	E	NA	NA	N	NA	NA	1.446599829	NA	NA	NA
Bartsia_alpina	H	D	B	C3	N	NA	6.695195651	1.478362575	NA	NA	NA
Bartsia_alpina	H	D	B	C3	N	NA	6.398259404	1.522133103	NA	NA	NA
